file,category,status,note
QueryEngine.ts,misc,covered-by-rust-equivalent,top-level QueryEngine.ts
Task.ts,misc,needs-port,top-level Task.ts
Tool.ts,misc,needs-port,top-level Tool.ts
assistant/sessionHistory.ts,assistant,covered-by-rust-equivalent,assistant/sessionHistory
bootstrap/state.ts,bootstrap,covered-by-rust-equivalent,bootstrap/state
bridge/bridgeApi.ts,external-bridge,external-service-blocked,bridge requires external runtime
bridge/bridgeConfig.ts,external-bridge,external-service-blocked,bridge requires external runtime
bridge/bridgeDebug.ts,external-bridge,external-service-blocked,bridge requires external runtime
bridge/bridgeEnabled.ts,external-bridge,external-service-blocked,bridge requires external runtime
bridge/bridgeMain.ts,external-bridge,external-service-blocked,bridge requires external runtime
bridge/bridgeMessaging.ts,external-bridge,external-service-blocked,bridge requires external runtime
bridge/bridgePermissionCallbacks.ts,external-bridge,external-service-blocked,bridge requires external runtime
bridge/bridgePointer.ts,external-bridge,external-service-blocked,bridge requires external runtime
bridge/bridgeStatusUtil.ts,external-bridge,external-service-blocked,bridge requires external runtime
bridge/bridgeUI.ts,external-bridge,external-service-blocked,bridge requires external runtime
bridge/capacityWake.ts,external-bridge,external-service-blocked,bridge requires external runtime
bridge/codeSessionApi.ts,external-bridge,external-service-blocked,bridge requires external runtime
bridge/createSession.ts,external-bridge,external-service-blocked,bridge requires external runtime
bridge/debugUtils.ts,external-bridge,external-service-blocked,bridge requires external runtime
bridge/envLessBridgeConfig.ts,external-bridge,external-service-blocked,bridge requires external runtime
bridge/flushGate.ts,external-bridge,external-service-blocked,bridge requires external runtime
bridge/inboundAttachments.ts,external-bridge,external-service-blocked,bridge requires external runtime
bridge/inboundMessages.ts,external-bridge,external-service-blocked,bridge requires external runtime
bridge/initReplBridge.ts,external-bridge,external-service-blocked,bridge requires external runtime
bridge/jwtUtils.ts,external-bridge,external-service-blocked,bridge requires external runtime
bridge/pollConfig.ts,external-bridge,external-service-blocked,bridge requires external runtime
bridge/pollConfigDefaults.ts,external-bridge,external-service-blocked,bridge requires external runtime
bridge/remoteBridgeCore.ts,external-bridge,external-service-blocked,bridge requires external runtime
bridge/replBridge.ts,external-bridge,external-service-blocked,bridge requires external runtime
bridge/replBridgeHandle.ts,external-bridge,external-service-blocked,bridge requires external runtime
